# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
0.01638,0.11464,0.69752,0.00000,0.00061,0.00061,0.00065,0.69752,0.11464,0.01941,0.00121,0.00000,0.00121
0.02000,0.14000,0.69273,0.00073,0.00073,0.00000,0.00001,0.69273,0.14000,0.02552,0.00146,0.00000,0.00146
0.01736,0.12154,0.69629,0.00063,0.00063,0.00063,0.00030,0.69629,0.12154,0.02215,0.00253,0.00000,0.00253
0.01894,0.13260,0.69425,0.00069,0.00069,0.00000,0.00024,0.69425,0.13260,0.02222,0.00139,0.00000,0.00139
0.01641,0.11484,0.69749,0.00060,0.00060,0.00060,0.00053,0.69749,0.11484,0.01924,0.00120,0.00000,0.00120
0.02491,0.17438,0.68470,0.00000,0.00099,0.00099,-0.00052,0.68470,0.17438,0.03054,0.00197,0.00000,0.00197
0.02781,0.19469,0.67893,0.00100,0.00100,0.00100,-0.00161,0.67893,0.19469,0.03894,0.00000,0.00000,0.00000
0.01722,0.12051,0.69654,0.00055,0.00055,0.00000,-0.00040,0.69654,0.12051,0.01769,0.00000,0.00000,0.00000
0.01201,0.08408,0.70198,0.00039,0.00039,0.00000,0.00035,0.70198,0.08408,0.01234,0.00000,0.00000,0.00000
0.01441,0.10086,0.69975,0.00000,0.00048,0.00048,0.00015,0.69975,0.10086,0.01158,0.00097,0.00000,0.00097
0.01676,0.11733,0.69704,0.00058,0.00058,0.00000,0.00015,0.69704,0.11733,0.02149,0.00116,0.00000,0.00116
0.01810,0.12673,0.69537,0.00065,0.00065,0.00000,0.00021,0.69537,0.12673,0.02145,0.00130,0.00000,0.00130
0.01086,0.07602,0.70294,0.00032,0.00032,0.00000,0.00004,0.70294,0.07602,0.00795,0.00000,0.00000,0.00000
0.01485,0.10392,0.69929,0.00000,0.00049,0.00000,0.00005,0.69929,0.10392,0.01214,0.00194,0.00000,0.00194
0.01970,0.13791,0.69313,0.00071,0.00071,0.00071,-0.00018,0.69313,0.13791,0.02644,0.00143,0.00000,0.00143
